id,key,English,Hindi,Tamil,Gujarati,Bengali,Telugu,Marathi,Malayalam,Kannada,channel
"1102","statementPreference","Statement Preference","स्टेटमेंट की प्राथमिकता","அறிக்கை விருப்பத்தேர்வு","Statement Preference","Statement Preference","Statement Preference","Statement Preference","Statement Preference","Statement Preference","IB"
"1103","invalidIFSCCode","Invalid IFSC Code","अमान्य IFSC कोड","செல்லுபடியாகாத IFSC குறியீடு","Invalid IFSC Code","Invalid IFSC Code","Invalid IFSC Code","Invalid IFSC Code","Invalid IFSC Code","Invalid IFSC Code","IB"
"1104","debitAccount","Debit Account","डेबिट खाता","டெபிட் கணக்கு","Debit Account","Debit Account","Debit Account","Debit Account","Debit Account","Debit Account","IB"
"1105","getPhysicalDebitCard","Get a physical debit card by completing full KYC","पूरा KYC पूरा करके फिजिकल डेबिट कार्ड पाएँ","முழு KYC-ஐ நிறைவு செய்வதன் மூலம் நேரடி டெபிட் கார்டைப் பெறுங்கள்","Get a physical debit card by completing full KYC","Get a physical debit card by completing full KYC","Get a physical debit card by completing full KYC","Get a physical debit card by completing full KYC","Get a physical debit card by completing full KYC","Get a physical debit card by completing full KYC","IB"
"1106","cardFreezeMessage","Card Freeze Successful!","कार्ड फ़्रीज़ सफल!","கார்டை முடக்குவது வெற்றிகரமாக முடிந்தது!","Card Freeze Successful!","Card Freeze Successful!","Card Freeze Successful!","Card Freeze Successful!","Card Freeze Successful!","Card Freeze Successful!","IB"
"1107","incorrectFormat","Incorrect format","गलत प्रारूप","தவறான வடிவம்","Incorrect format","Incorrect format","Incorrect format","Incorrect format","Incorrect format","Incorrect format","IB"
"1108","inProgressStatus","In Progress","प्रगति पर है","செயல்படுத்தப்படுகிறது","In Progress","In Progress","In Progress","In Progress","In Progress","In Progress","IB"
"1109","exceededOTPLimits","Please try again!||Exceeded Maximum OTP Resend Attempts","कृपया फिर से प्रयास करें!|| OTP दोबारा भेजने की अधिक से अधिक प्रयास पार गएँ","தயவு செய்து மீண்டும் முயற்சிக்கவும்!||வரம்பு மீறிய அதிகபட்ச OTP மீண்டும் அனுப்பும் முயற்சிகள்","Please try again!||Exceeded Maximum OTP Resend Attempts","Please try again!||Exceeded Maximum OTP Resend Attempts","Please try again!||Exceeded Maximum OTP Resend Attempts","Please try again!||Exceeded Maximum OTP Resend Attempts","Please try again!||Exceeded Maximum OTP Resend Attempts","Please try again!||Exceeded Maximum OTP Resend Attempts","IB"
"1110","homeLoanSubTit","You're just one step away from buying your dream home.","आप अपने सपनों का घर खरीदने से बस एक कदम दूर हैं।","உங்கள் கனவு வீட்டை வாங்குவதில் இருந்து நீங்கள் ஒரு படி தொலைவில் இருக்கிறீர்கள்.","You're just one step away from buying your dream home.","You're just one step away from buying your dream home.","You're just one step away from buying your dream home.","You're just one step away from buying your dream home.","You're just one step away from buying your dream home.","You're just one step away from buying your dream home.","IB"
"1111","otherInterest","Enter any income other than the interest income","ब्याज से होने वाली आय के अलावा किसी भी अन्य आय को दर्ज करें।","வட்டி வருமானத்தைத் தவிர வேறு எந்த வருமானத்தையும் உள்ளிடவும்","Enter any income other than the interest income","Enter any income other than the interest income","Enter any income other than the interest income","Enter any income other than the interest income","Enter any income other than the interest income","Enter any income other than the interest income","IB"
"1112","requestIntiatedInfo","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","आपको अपने रजिस्टर्ड मोबाइल नंबर पर OTP मिलेगा। मांगी गई रकम को 4 घंटे के अंदर नज़दीकी इक्विटास ATM से निकाल लें। कृपया यह OTP किसी के साथ शेयर न करें।","உங்கள் பதிவு செய்யப்பட்ட மொபைல் எண்ணில் OTP-ஐப் பெறுவீர்கள். அருகிலுள்ள எக்விடாஸ் ATM-இல் 4 மணி நேரத்திற்குள் கோரப்பட்ட தொகையை திரும்பப் பெறவும். தயவு செய்து இந்த OTP-ஐ யாருடனும் பகிர வேண்டாம்","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","You will get OTP on your registered mobile number. Withdraw the requested amount within 4 Hours at the nearest Equitas ATM. Please don't share this OTP with anyone","IB"
"1113","updateCurrentAddrs","Update Current Address","वर्तमान पता अपडेट करें","தற்போதைய முகவரியைப் புதுப்பிக்கவும்","Update Current Address","Update Current Address","Update Current Address","Update Current Address","Update Current Address","Update Current Address","IB"
"1114","addOn","Add On","ऐड ऑन","கூடுதல் சேர்க்கை","Add On","Add On","Add On","Add On","Add On","Add On","IB"
"1115","panNotAvailable","Pan Not Available","PAN उपलब्ध नहीं है","PAN இல்லை","Pan Not Available","Pan Not Available","Pan Not Available","Pan Not Available","Pan Not Available","Pan Not Available","IB"
"1116","paymentFailed","Payment Failed!","भुगतान विफल रहा!","கட்டணம் செலுத்துதல் தோல்வியடைந்தது!","Payment Failed!","Payment Failed!","Payment Failed!","Payment Failed!","Payment Failed!","Payment Failed!","IB"
"1117","myInternationalPlan","My International Travel Plan","मेरी अंतर्राष्ट्रीय यात्रा योजना","எனது சர்வதேச பயணத் திட்டம்","My International Travel Plan","My International Travel Plan","My International Travel Plan","My International Travel Plan","My International Travel Plan","My International Travel Plan","IB"
"1118","trackYourLoanApplication","Track Your Loan Application","अपने कर्ज के लिए आवेदन को ट्रैक करें","உங்கள் கடன் விண்ணப்பத்தைக் கண்காணிக்கவும்","Track Your Loan Application","Track Your Loan Application","Track Your Loan Application","Track Your Loan Application","Track Your Loan Application","Track Your Loan Application","IB"
"1119","dateLabel","Date","तारीख","தேதி","Date","Date","Date","Date","Date","Date","IB"
"1120","nomineeNameInAdvice","Display Nominee Name in Advice","सूचना में नामांकित व्यक्ति का नाम दिखाएँ","அட்வைசில் பரிந்துரைக்கப்பட்டவரின் பெயரைக் காட்டவும்","Display Nominee Name in Advice","Display Nominee Name in Advice","Display Nominee Name in Advice","Display Nominee Name in Advice","Display Nominee Name in Advice","Display Nominee Name in Advice","IB"
"1121","aadhaarRelatedServices","Aadhaar Related Services","आधार से जुड़ी सेवाएँ","ஆதார் தொடர்பான சேவைகள்","Aadhaar Related Services","Aadhaar Related Services","Aadhaar Related Services","Aadhaar Related Services","Aadhaar Related Services","Aadhaar Related Services","IB"
"1122","referenceNbr","Reference Number","संदर्भ संख्या","குறிப்பு எண்","Reference Number","Reference Number","Reference Number","Reference Number","Reference Number","Reference Number","IB"
"1123","creditCard","Credit Card","क्रेडिट कार्ड","கடன் அட்டை","Credit Card","Credit Card","Credit Card","Credit Card","Credit Card","Credit Card","IB"
"1124","copiedToClipBoard","Copied to clipboard!","क्लिपबोर्ड पर कॉपी किया गया!","கிளிப்போர்டுக்கு மறுபிரதி செய்யப்பட்டது","Copied to clipboard!","Copied to clipboard!","Copied to clipboard!","Copied to clipboard!","Copied to clipboard!","Copied to clipboard!","IB"
"1125","kycRejected","kyc Rejected","kyc अस्वीकृत","kyc நிராகரிக்கப்பட்டது","kyc Rejected","kyc Rejected","kyc Rejected","kyc Rejected","kyc Rejected","kyc Rejected","IB"
"1126","rewardPts","Reward Points","ईनामी अंक","வெகுமதிப் புள்ளிகள்","Reward Points","Reward Points","Reward Points","Reward Points","Reward Points","Reward Points","IB"
"1127","selfe","Selfe","सेल्फी","சுயம்","Selfe","Selfe","Selfe","Selfe","Selfe","Selfe","IB"
"1128","forecloseFDTextValidation","You may enter {amount} or partial amount upto {partialamount}","आप {राशि} या आंशिक राशि {आंशिक राशि} तक दर्ज कर सकते हैं","நீங்கள் {தொகை} அல்லது பகுதித் தொகையை {பகுதி தொகை} வரை உள்ளிடலாம்","You may enter {amount} or partial amount upto {partialamount}","You may enter {amount} or partial amount upto {partialamount}","You may enter {amount} or partial amount upto {partialamount}","You may enter {amount} or partial amount upto {partialamount}","You may enter {amount} or partial amount upto {partialamount}","You may enter {amount} or partial amount upto {partialamount}","IB"
"1129","personalLoan","Personal Loan","व्यक्तिगत कर्ज़","தனிநபர் கடன்","Personal Loan","Personal Loan","Personal Loan","Personal Loan","Personal Loan","Personal Loan","IB"
"1130","permanentAccNum","Permanent Account Number","स्थायी खाता संख्या","நிலையான கணக்கு எண்","Permanent Account Number","Permanent Account Number","Permanent Account Number","Permanent Account Number","Permanent Account Number","Permanent Account Number","IB"
"1131","hideCardNumber","Hide Card Number","कार्ड नंबर छिपाएँ","அட்டை எண்ணை மறைக்கவும்","Hide Card Number","Hide Card Number","Hide Card Number","Hide Card Number","Hide Card Number","Hide Card Number","IB"
"1132","ipAddressCheckMsg","Please retry using a different device","कृपया किसी दूसरे डिवाइस का उपयोग करके फिर से प्रयास करें","வேறு சாதனத்தைப் பயன்படுத்தி மீண்டும் முயற்சிக்கவும்","Please retry using a different device","Please retry using a different device","Please retry using a different device","Please retry using a different device","Please retry using a different device","Please retry using a different device","IB"
"1133","principalAmount","Transfer the principal amount and interest","मूल राशि और ब्याज हस्तांतरित करें","அசல் தொகை மற்றும் வட்டியை மாற்றவும்","Transfer the principal amount and interest","Transfer the principal amount and interest","Transfer the principal amount and interest","Transfer the principal amount and interest","Transfer the principal amount and interest","Transfer the principal amount and interest","IB"
"1134","cardlessWithdrawal","Cardless Withdrawal","कार्ड-रहित विद्ड्रॉल","அட்டையின்றி பணம் எடுத்தல்","Cardless Withdrawal","Cardless Withdrawal","Cardless Withdrawal","Cardless Withdrawal","Cardless Withdrawal","Cardless Withdrawal","IB"
"1135","ccBalance","Credit Card Balance","क्रेडिट कार्ड बैलेंस","கிரெடிட் கார்டு இருப்பு","Credit Card Balance","Credit Card Balance","Credit Card Balance","Credit Card Balance","Credit Card Balance","Credit Card Balance","IB"
"1136","myLoans","My Loans","मेरे लोन","எனது கடன்கள்","My Loans","My Loans","My Loans","My Loans","My Loans","My Loans","IB"
"1137","doorStepRequest","Door Step Request","दरवाजे पर अनुरोध","வாசற்படி கோரிக்கை","Door Step Request","Door Step Request","Door Step Request","Door Step Request","Door Step Request","Door Step Request","IB"
"1138","reEnterBeneAcNumber","Re-enter Beneficiary Account Number","लाभार्थी खाता संख्या पुनः दर्ज करें","பயனாளி கணக்கு எண்ணை மீண்டும் உள்ளிடவும்","Re-enter Beneficiary Account Number","Re-enter Beneficiary Account Number","Re-enter Beneficiary Account Number","Re-enter Beneficiary Account Number","Re-enter Beneficiary Account Number","Re-enter Beneficiary Account Number","IB"
"1139","depositTenure","Deposit Tenure","डिपॉज़िट अवधि","டெபாசிட் காலம்","Deposit Tenure","Deposit Tenure","Deposit Tenure","Deposit Tenure","Deposit Tenure","Deposit Tenure","IB"
"1140","contactNumber","Contact Number","संपर्क संख्या","தொடர்பு எண்","Contact Number","Contact Number","Contact Number","Contact Number","Contact Number","Contact Number","IB"
"1141","393/6","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","कर कटौती के बिना कुछ आय की प्राप्ति के लिए धारा 393(6) के तहत घोषणा।","பிரிவு 393(6)-இன் கீழ் வரி விலக்கு இல்லாமல் சில வருமானங்களைப் பெறுவதற்கான அறிவிப்பு.","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","Declaration under section 393(6) for receipt of certain incomes without deduction of tax.","IB"
"1142","eligibilityText","Eligibility","पात्रता","தகுதி","Eligibility","Eligibility","Eligibility","Eligibility","Eligibility","Eligibility","IB"
"1143","eligibleAmount","Eligible Amount (in Lakhs)","पात्र राशि (लाखों में)","தகுதியான தொகை (இலட்சத்தில்)","Eligible Amount (in Lakhs)","Eligible Amount (in Lakhs)","Eligible Amount (in Lakhs)","Eligible Amount (in Lakhs)","Eligible Amount (in Lakhs)","Eligible Amount (in Lakhs)","IB"
"1144","uploadChequeImageFront","Upload Cheque Front Image","चेक के सामने की इमेज अपलोड करें","காசோலை முன் படத்தைப் பதிவேற்றவும்","Upload Cheque Front Image","Upload Cheque Front Image","Upload Cheque Front Image","Upload Cheque Front Image","Upload Cheque Front Image","Upload Cheque Front Image","IB"
"1145","panNotVerified","PAN Not Available","PAN उपलब्ध नहीं है","PAN இல்லை","PAN Not Available","PAN Not Available","PAN Not Available","PAN Not Available","PAN Not Available","PAN Not Available","IB"
"1146","applicationSubmittedText","Application Already Submitted","आवेदन पहले ही प्रस्तुत कर दिया गया है","விண்ணப்பம் ஏற்கனவே சமர்ப்பிக்கப்பட்டது","Application Already Submitted","Application Already Submitted","Application Already Submitted","Application Already Submitted","Application Already Submitted","Application Already Submitted","IB"
"1147","havingDebitCard","Already received your Equitas Debit Card?","क्या आपको अपना इक्विटास डेबिट कार्ड मिल गया है?","ஏற்கனவே உங்கள் எக்விடாஸ் டெபிட் கார்டைப் பெற்றுள்ளீர்களா?","Already received your Equitas Debit Card?","Already received your Equitas Debit Card?","Already received your Equitas Debit Card?","Already received your Equitas Debit Card?","Already received your Equitas Debit Card?","Already received your Equitas Debit Card?","IB"
"1148","cantUnfreezeMsg","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","आप इंटरनेट/मोबाइल बैंकिंग के माध्यम से खाता अनलॉक करने के पात्र नहीं हैं। कृपया अपनी नज़दीकी ब्रांच से संपर्क करें।","இணையம்/மொபைல் பேங்கிங் மூலம் கணக்கைத் திறக்க உங்களுக்கு தகுதி இல்லை. அருகிலுள்ள கிளையைத் தொடர்பு கொள்ளவும்!","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","You are not eligible to unlock the account via Internet/Mobile Banking. Please contact your nearest branch.","IB"
"1149","minNomineeNameError","Nominee name should be a minimum of {count} characters","नामांकित व्यक्ति के नाम में कम से कम {गणना} वर्ण होने चाहिए","பரிந்துரைக்கப்பட்டவரின் பெயர் குறைந்தபட்சம் {எண்ணிக்கை} எழுத்துகளாக இருக்க வேண்டும்","Nominee name should be a minimum of {count} characters","Nominee name should be a minimum of {count} characters","Nominee name should be a minimum of {count} characters","Nominee name should be a minimum of {count} characters","Nominee name should be a minimum of {count} characters","Nominee name should be a minimum of {count} characters","IB"
"1150","customerLevel","Customer Level","ग्राहक स्तर","வாடிக்கையாளர் நிலை","Customer Level","Customer Level","Customer Level","Customer Level","Customer Level","Customer Level","IB"
"1151","trackCard","Track your Card","अपने कार्ड को ट्रैक करें","உங்கள் கார்டைக் கண்காணிக்கவும்","Track your Card","Track your Card","Track your Card","Track your Card","Track your Card","Track your Card","IB"
"1152","insuranceRegistrationSuccess","Insurance registration request has been received, and it will be updated within 3 - 5 working days","बीमा रजिस्ट्रेशन का अनुरोध मिल गया है और इसे 3-5 कामकाजी दिनों में अपडेट कर दिया जाएगा।","காப்பீட்டு பதிவு கோரிக்கை பெறப்பட்டது. அது 3-5 வேலை நாட்களுக்குள் புதுப்பிக்கப்படும்","Insurance registration request has been received, and it will be updated within 3 - 5 working days","Insurance registration request has been received, and it will be updated within 3 - 5 working days","Insurance registration request has been received, and it will be updated within 3 - 5 working days","Insurance registration request has been received, and it will be updated within 3 - 5 working days","Insurance registration request has been received, and it will be updated within 3 - 5 working days","Insurance registration request has been received, and it will be updated within 3 - 5 working days","IB"
"1153","statementRelatedRequest","Statement Related Requests","स्टेटमेंट से संबंधित अनुरोध","அறிக்கை தொடர்பான கோரிக்கைகள்","Statement Related Requests","Statement Related Requests","Statement Related Requests","Statement Related Requests","Statement Related Requests","Statement Related Requests","IB"
"1154","noLoanApplicationsFound","No Loan Application Found","कोई लोन आवेदन नहीं मिला","கடன் விண்ணப்பம் எதுவும் இல்லை","No Loan Application Found","No Loan Application Found","No Loan Application Found","No Loan Application Found","No Loan Application Found","No Loan Application Found","IB"
"1155","rekycHolidayText","VKYC services are not available today due to a holiday. Please try again on the next working day.","आज छुट्टी के कारण VKYC सेवाएँ उपलब्ध नहीं हैं। कृपया अगले कामकाजी दिन फिर से प्रयास करें।","விடுமுறை காரணமாக VKYC சேவைகள் இன்று கிடையாது. அடுத்த வேலை நாளில் மீண்டும் முயற்சிக்கவும்.","VKYC services are not available today due to a holiday. Please try again on the next working day.","VKYC services are not available today due to a holiday. Please try again on the next working day.","VKYC services are not available today due to a holiday. Please try again on the next working day.","VKYC services are not available today due to a holiday. Please try again on the next working day.","VKYC services are not available today due to a holiday. Please try again on the next working day.","VKYC services are not available today due to a holiday. Please try again on the next working day.","IB"
"1156","loanAgainstProperty","Loan Against Property","संपत्ति पर लोन","சொத்து மீதான கடன்","Loan Against Property","Loan Against Property","Loan Against Property","Loan Against Property","Loan Against Property","Loan Against Property","IB"
"1157","Acct","Acct","खाता","கணக்கு","Acct","Acct","Acct","Acct","Acct","Acct","IB"
"1158","beDressed","Be dressed appropriately in a well-lit room","अच्छी रोशनी वाले कमरे में सही कपड़े पहनें","நன்கு ஒளிரும் அறையில் பொருத்தமான உடையணிந்து கொள்ளுங்கள்","Be dressed appropriately in a well-lit room","Be dressed appropriately in a well-lit room","Be dressed appropriately in a well-lit room","Be dressed appropriately in a well-lit room","Be dressed appropriately in a well-lit room","Be dressed appropriately in a well-lit room","IB"
"1159","shortTermFD","Short Term FD","अल्पकालिक FD","குறுகிய கால FD","Short Term FD","Short Term FD","Short Term FD","Short Term FD","Short Term FD","Short Term FD","IB"
"1160","sessionExpired","Your Session has Expired!","आपका सत्र समाप्त हो गया है!","உங்கள் அமர்வு காலாவதியாகி விட்டது.","Your Session has Expired!","Your Session has Expired!","Your Session has Expired!","Your Session has Expired!","Your Session has Expired!","Your Session has Expired!","IB"
"1161","requestAccountClosure","Account closure request will be updated within 3 - 5 working days.","खाता बंद करने का अनुरोध 3 - 5 कामकाजी दिनों में अपडेट कर दिया जाएगा।","கணக்கு மூடல் கோரிக்கை 3-5 வேலை நாட்களுக்குள் புதுப்பிக்கப்படும்.","Account closure request will be updated within 3 - 5 working days.","Account closure request will be updated within 3 - 5 working days.","Account closure request will be updated within 3 - 5 working days.","Account closure request will be updated within 3 - 5 working days.","Account closure request will be updated within 3 - 5 working days.","Account closure request will be updated within 3 - 5 working days.","IB"
"1162","insufficientBalanceForDeposit","Insufficient balance for deposit","डिपॉज़िट के लिए अपर्याप्त शेषराशि","டெபாசிட் செய்வதற்கு போதுமான பேலன்ஸ் இல்லை","Insufficient balance for deposit","Insufficient balance for deposit","Insufficient balance for deposit","Insufficient balance for deposit","Insufficient balance for deposit","Insufficient balance for deposit","IB"
"1163","rekycNonWorkingHrsText","VKYC services are available only between {start} and {end}. Please try again during working hours.","VKYC सेवाएँ सिर्फ़ {प्रारंभ} और {समाप्ति} के बीच ही उपलब्ध हैं। कृपया काम के घंटों में फिर से प्रयास करें।","VKYC சேவைகள் {துவக்கம்} முதல் {முடிவு} வரை மட்டுமே கிடைக்கும். வேலை நேரங்களில் மீண்டும் முயலவும்.","VKYC services are available only between {start} and {end}. Please try again during working hours.","VKYC services are available only between {start} and {end}. Please try again during working hours.","VKYC services are available only between {start} and {end}. Please try again during working hours.","VKYC services are available only between {start} and {end}. Please try again during working hours.","VKYC services are available only between {start} and {end}. Please try again during working hours.","VKYC services are available only between {start} and {end}. Please try again during working hours.","IB"
"1164","interestRatePA","Interest Rate (%p.a)","ब्याज दर (% प्रति वर्ष)","வட்டி விகிதம் (% வருடத்திற்கு)","Interest Rate (%p.a)","Interest Rate (%p.a)","Interest Rate (%p.a)","Interest Rate (%p.a)","Interest Rate (%p.a)","Interest Rate (%p.a)","IB"
"1165","noactiveCreditDebitCardDescription","You do not have any active Debit/Credit Cards","आपके पास कोई सक्रीय डेबिट/क्रेडिट कार्ड नहीं है","உங்களிடம் செயலில் உள்ள டெபிட்/கிரெடிட் கார்டுகள் எதுவும் இல்லை","You do not have any active Debit/Credit Cards","You do not have any active Debit/Credit Cards","You do not have any active Debit/Credit Cards","You do not have any active Debit/Credit Cards","You do not have any active Debit/Credit Cards","You do not have any active Debit/Credit Cards","IB"
"1166","accountTitle","Account Title","खाता शीर्षक","கணக்குத் தலைப்பு","Account Title","Account Title","Account Title","Account Title","Account Title","Account Title","IB"
"1167","maxAttemptsReached","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","आप अपने डेबिट कार्ड का उपयोग करके प्रमाणित करने के लिए अनुमत प्रयासों की अधिकतम संख्या तक पहुंच गए हैं","உங்கள் டெபிட் கார்டைப் பயன்படுத்தி அங்கீகரிக்க அனுமதிக்கப்பட்ட அதிகபட்ச முயற்சிகளை அடைந்துவிட்டீர்கள்","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","You have reached the maximum number of attempts allowed to authenticate using your Debit Card","IB"
"1168","declaredIncome","Total Declared Income","कुल घोषित आय","மொத்த அறிவிக்கப்பட்ட வருமானம்","Total Declared Income","Total Declared Income","Total Declared Income","Total Declared Income","Total Declared Income","Total Declared Income","IB"
"1169","billCycleSuccessTitle","Request submitted successfully","अनुरोध सफलतापूर्वक प्रस्तुत किया गया","கோரிக்கை வெற்றிகரமாக சமர்ப்பிக்கப்பட்டது","Request submitted successfully","Request submitted successfully","Request submitted successfully","Request submitted successfully","Request submitted successfully","Request submitted successfully","IB"
"1170","billCycleSuccessMsg","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","आपका बिलिंग साइकिल बदलने का अनुरोध पहले ही प्रस्तुत कर दिया गया है। कृपया और सहायता के लिए ग्राहक से संपर्क करें।","உங்கள் பில்லிங் சுழற்சி மாற்றக் கோரிக்கை ஏற்கனவே சமர்ப்பிக்கப்பட்டுள்ளது. மேலும் உதவிக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","Your billing cycle change request has already been submitted. Kindly contact customer service for further assistance.","IB"
"1171","searchByBeneficiary","Search by Beneficiary","लाभार्थी द्वारा खोजें","பயனாளியை வைத்துத் தேடவும்","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","IB"
"1172","quickCheck","for a quick check","त्वरित जाँच के लिए","விரைவான சரிபார்ப்புக்கு","for a quick check","for a quick check","for a quick check","for a quick check","for a quick check","for a quick check","IB"
"1173","updateEmailInfo","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","अपने रजिस्टर्ड मोबाइल नंबर या डेबिट कार्ड का उपयोग करके सत्यापित करें। अपनी ईमेल ID अपडेट करने के लिए, कृपया अपने पासपोर्ट और वीज़ा की सॉफ्ट कॉपी अपलोड करने के लिए तैयार रखें।","உங்கள் பதிவு செய்யப்பட்ட மொபைல் எண் அல்லது டெபிட் கார்டைப் பயன்படுத்தி சரிபார்க்கவும். உங்கள் மின்னஞ்சல் ID-ஐப் புதுப்பிக்க உங்கள் பாஸ்போர்ட் மற்றும் விசாவின் மென்மையான நகலை பதிவேற்றத் தயாராக வைத்திருங்கள்.","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","Verify using your registered Mobile Number or Debit Card. Please keep a soft copy of your Passport and Visa ready for upload to update your Email ID.","IB"
"1174","closure","Closure","समापन","மூடுபவை","Closure","Closure","Closure","Closure","Closure","Closure","IB"
"1175","all","All","सभी","அனைத்தும்","All","All","All","All","All","All","IB"
"1176","goodsServicesNotDescribed","Goods and services not as described","सामान और सेवाएँ वैसी नहीं हैं जैसा बताया गया था","விவரிக்கப்பட்டுள்ளபடி பொருட்கள் மற்றும் சேவைகள் இல்லை","Goods and services not as described","Goods and services not as described","Goods and services not as described","Goods and services not as described","Goods and services not as described","Goods and services not as described","IB"
"1177","travelPurpose","Purpose of Travel","यात्रा का उद्देश्य","பயண நோக்கம்","Purpose of Travel","Purpose of Travel","Purpose of Travel","Purpose of Travel","Purpose of Travel","Purpose of Travel","IB"
"1178","chequeAlreadyStopped","Cheque already stopped.","चेक पहले ही रोक दिया गया है।","காசோலை ஏற்கனவே நிறுத்தப்பட்டது.","Cheque already stopped.","Cheque already stopped.","Cheque already stopped.","Cheque already stopped.","Cheque already stopped.","Cheque already stopped.","IB"
"1179","cashDeliveryAmountMinLimit","Please enter an amount greater than ₹{amount}","कृपया ₹{राशि} से ज़्यादा रकम दर्ज करें","₹{தொகை}-க்கும் அதிகமான தொகையை உள்ளிடவும்","Please enter an amount greater than ₹{amount}","Please enter an amount greater than ₹{amount}","Please enter an amount greater than ₹{amount}","Please enter an amount greater than ₹{amount}","Please enter an amount greater than ₹{amount}","Please enter an amount greater than ₹{amount}","IB"
"1180","rdDesc1","The interest percentage remains the same until maturity.","मैच्योरिटी तक ब्याज दर एक जैसी रहती है।","முதிர்வு காலம் வரை வட்டி சதவீதம் அப்படியே இருக்கும்.","The interest percentage remains the same until maturity.","The interest percentage remains the same until maturity.","The interest percentage remains the same until maturity.","The interest percentage remains the same until maturity.","The interest percentage remains the same until maturity.","The interest percentage remains the same until maturity.","IB"
"1181","interestRatesAndCharges","Interest Rates and Charges","ब्याज दरें और शुल्क","வட்டி விகிதங்கள் மற்றும் கட்டணங்கள்","Interest Rates and Charges","Interest Rates and Charges","Interest Rates and Charges","Interest Rates and Charges","Interest Rates and Charges","Interest Rates and Charges","IB"
"1182","cameraAccess","Enable your browser settings!","अपने ब्राउज़र की सेटिंग्स चालू करें!","உங்கள் உலாவி அமைப்புகளை இயக்கவும்!","Enable your browser settings!","Enable your browser settings!","Enable your browser settings!","Enable your browser settings!","Enable your browser settings!","Enable your browser settings!","IB"
"1183","paymentHistory","Payment History","भुगतान इतिहास","பேமெண்ட் வரலாறு","Payment History","Payment History","Payment History","Payment History","Payment History","Payment History","IB"
"1184","captureSuccess","Photo Captured Successfully!","फ़ोटो सफलतापूर्वक कैप्चर हो गया!","புகைப்படம் வெற்றிகரமாகப் பிடிக்கப்பட்டது!","Photo Captured Successfully!","Photo Captured Successfully!","Photo Captured Successfully!","Photo Captured Successfully!","Photo Captured Successfully!","Photo Captured Successfully!","IB"
